Time Stamp,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),Name
2019-01-01 00:00:00+00:00,61752.0,22.58,0.02,-1.92,WEST
2019-01-01 01:00:00+00:00,61752.0,20.92,-0.04,-1.2,WEST
2019-01-01 02:00:00+00:00,61752.0,20.15,-0.1,-0.87,WEST
2019-01-01 03:00:00+00:00,61752.0,17.61,-0.37,-1.23,WEST
2019-01-01 04:00:00+00:00,61752.0,17.3,-0.48,-1.11,WEST
2019-01-01 05:00:00+00:00,61752.0,11.83,-0.36,-1.85,WEST
2019-01-01 06:00:00+00:00,61752.0,11.35,-0.41,-1.44,WEST
2019-01-01 07:00:00+00:00,61752.0,10.48,-0.35,-1.31,WEST
2019-01-01 08:00:00+00:00,61752.0,10.48,-0.34,-1.28,WEST
2019-01-01 09:00:00+00:00,61752.0,10.47,-0.3,-1.34,WEST
2019-01-01 10:00:00+00:00,61752.0,10.48,-0.27,-1.37,WEST
2019-01-01 11:00:00+00:00,61752.0,11.72,-0.23,-1.59,WEST
2019-01-01 12:00:00+00:00,61752.0,11.83,-0.06,-1.34,WEST
2019-01-01 13:00:00+00:00,61752.0,14.33,-0.07,-1.06,WEST
2019-01-01 14:00:00+00:00,61752.0,17.54,-0.07,-0.75,WEST
2019-01-01 15:00:00+00:00,61752.0,17.67,-0.05,-0.97,WEST
2019-01-01 16:00:00+00:00,61752.0,19.08,0.2,-0.66,WEST
2019-01-01 17:00:00+00:00,61752.0,17.71,-0.02,-0.77,WEST
2019-01-01 18:00:00+00:00,61752.0,17.2,-0.08,-0.81,WEST
2019-01-01 19:00:00+00:00,61752.0,17.19,-0.12,-0.71,WEST
2019-01-01 20:00:00+00:00,61752.0,17.81,-0.03,-1.02,WEST
2019-01-01 21:00:00+00:00,61752.0,20.53,0.08,-1.21,WEST
2019-01-01 22:00:00+00:00,61752.0,25.61,0.19,-1.61,WEST
2019-01-01 23:00:00+00:00,61752.0,26.31,0.1,-0.96,WEST
2019-01-02 00:00:00+00:00,61752.0,26.18,0.08,-0.41,WEST
2019-01-02 01:00:00+00:00,61752.0,24.6,0.07,-0.34,WEST
2019-01-02 02:00:00+00:00,61752.0,22.5,0.11,-0.36,WEST
2019-01-02 03:00:00+00:00,61752.0,18.41,-0.04,-0.88,WEST
2019-01-02 04:00:00+00:00,61752.0,18.87,0.22,-0.45,WEST
2019-01-02 05:00:00+00:00,61752.0,22.39,0.46,-0.25,WEST
2019-01-02 06:00:00+00:00,61752.0,20.94,0.45,-0.02,WEST
2019-01-02 07:00:00+00:00,61752.0,20.17,0.42,-0.02,WEST
2019-01-02 08:00:00+00:00,61752.0,19.72,0.31,-0.02,WEST
2019-01-02 09:00:00+00:00,61752.0,19.94,0.29,-0.04,WEST
2019-01-02 10:00:00+00:00,61752.0,22.88,0.31,-0.3,WEST
2019-01-02 11:00:00+00:00,61752.0,30.22,0.62,-0.02,WEST
2019-01-02 12:00:00+00:00,61752.0,30.85,0.51,-0.32,WEST
2019-01-02 13:00:00+00:00,61752.0,32.18,0.29,-0.07,WEST
2019-01-02 14:00:00+00:00,61752.0,31.96,0.38,0.0,WEST
2019-01-02 15:00:00+00:00,61752.0,30.86,0.52,0.0,WEST
2019-01-02 16:00:00+00:00,61752.0,30.0,0.36,0.0,WEST
2019-01-02 17:00:00+00:00,61752.0,28.12,-0.08,-0.02,WEST
2019-01-02 18:00:00+00:00,61752.0,27.66,0.11,-0.02,WEST
2019-01-02 19:00:00+00:00,61752.0,27.19,0.05,-0.15,WEST
2019-01-02 20:00:00+00:00,61752.0,27.4,0.03,-0.34,WEST
2019-01-02 21:00:00+00:00,61752.0,34.4,0.1,-0.37,WEST
2019-01-02 22:00:00+00:00,61752.0,46.8,0.19,0.0,WEST
2019-01-02 23:00:00+00:00,61752.0,42.77,-0.04,0.0,WEST
2019-01-03 00:00:00+00:00,61752.0,36.32,-0.14,-0.37,WEST
2019-01-03 01:00:00+00:00,61752.0,31.45,0.12,-0.37,WEST
2019-01-03 02:00:00+00:00,61752.0,27.89,0.24,-0.57,WEST
2019-01-03 03:00:00+00:00,61752.0,21.0,0.23,-1.51,WEST
2019-01-03 04:00:00+00:00,61752.0,21.84,0.41,-0.89,WEST
2019-01-03 05:00:00+00:00,61752.0,18.27,0.15,-1.34,WEST
2019-01-03 06:00:00+00:00,61752.0,17.3,-0.03,-1.05,WEST
2019-01-03 07:00:00+00:00,61752.0,16.47,-0.09,-0.96,WEST
2019-01-03 08:00:00+00:00,61752.0,16.35,-0.11,-0.86,WEST
2019-01-03 09:00:00+00:00,61752.0,17.56,-0.03,-0.81,WEST
2019-01-03 10:00:00+00:00,61752.0,18.23,0.24,-1.14,WEST
2019-01-03 11:00:00+00:00,61752.0,29.04,0.76,0.0,WEST
2019-01-03 12:00:00+00:00,61752.0,30.93,0.31,-0.08,WEST
2019-01-03 13:00:00+00:00,61752.0,31.58,0.16,-0.08,WEST
2019-01-03 14:00:00+00:00,61752.0,31.07,0.06,0.0,WEST
2019-01-03 15:00:00+00:00,61752.0,29.49,0.26,-0.23,WEST
2019-01-03 16:00:00+00:00,61752.0,29.03,0.14,-0.08,WEST
2019-01-03 17:00:00+00:00,61752.0,26.55,0.08,-0.22,WEST
2019-01-03 18:00:00+00:00,61752.0,24.26,0.19,-0.59,WEST
2019-01-03 19:00:00+00:00,61752.0,22.85,0.09,-0.79,WEST
2019-01-03 20:00:00+00:00,61752.0,24.36,0.19,-0.62,WEST
2019-01-03 21:00:00+00:00,61752.0,31.99,-0.38,-0.35,WEST
2019-01-03 22:00:00+00:00,61752.0,43.36,-0.35,0.0,WEST
2019-01-03 23:00:00+00:00,61752.0,34.1,0.6,-1.67,WEST
2019-01-04 00:00:00+00:00,61752.0,31.55,0.73,-1.48,WEST
2019-01-04 01:00:00+00:00,61752.0,28.63,0.51,-1.09,WEST
2019-01-04 02:00:00+00:00,61752.0,27.11,0.34,-0.69,WEST
2019-01-04 03:00:00+00:00,61752.0,22.21,0.15,-1.01,WEST
2019-01-04 04:00:00+00:00,61752.0,18.85,0.43,-1.23,WEST
2019-01-04 05:00:00+00:00,61752.0,14.01,-0.06,-1.65,WEST
2019-01-04 06:00:00+00:00,61752.0,12.06,-0.12,-1.78,WEST
2019-01-04 07:00:00+00:00,61752.0,11.86,-0.16,-1.62,WEST
2019-01-04 08:00:00+00:00,61752.0,11.73,-0.26,-1.62,WEST
2019-01-04 09:00:00+00:00,61752.0,11.97,-0.08,-1.65,WEST
2019-01-04 10:00:00+00:00,61752.0,12.53,0.06,-2.03,WEST
2019-01-04 11:00:00+00:00,61752.0,20.77,0.59,-1.08,WEST
2019-01-04 12:00:00+00:00,61752.0,23.06,0.54,-0.81,WEST
2019-01-04 13:00:00+00:00,61752.0,21.64,0.34,-1.37,WEST
2019-01-04 14:00:00+00:00,61752.0,24.03,0.46,-0.63,WEST
2019-01-04 15:00:00+00:00,61752.0,22.45,0.59,-0.76,WEST
2019-01-04 16:00:00+00:00,61752.0,23.17,0.53,-0.39,WEST
2019-01-04 17:00:00+00:00,61752.0,21.44,0.41,-0.36,WEST
2019-01-04 18:00:00+00:00,61752.0,20.51,0.53,-0.42,WEST
2019-01-04 19:00:00+00:00,61752.0,20.07,0.53,-0.5,WEST
2019-01-04 20:00:00+00:00,61752.0,19.87,0.62,-0.52,WEST
2019-01-04 21:00:00+00:00,61752.0,25.64,0.68,-0.56,WEST
2019-01-04 22:00:00+00:00,61752.0,32.04,0.7,-0.83,WEST
2019-01-04 23:00:00+00:00,61752.0,30.32,0.86,-0.75,WEST
2019-01-05 00:00:00+00:00,61752.0,28.45,0.84,-0.44,WEST
2019-01-05 01:00:00+00:00,61752.0,23.91,0.61,-0.64,WEST
2019-01-05 02:00:00+00:00,61752.0,22.62,0.39,-0.59,WEST
2019-01-05 03:00:00+00:00,61752.0,18.87,-0.02,-0.74,WEST
2019-01-05 04:00:00+00:00,61752.0,18.52,0.19,-0.64,WEST
2019-01-05 05:00:00+00:00,61752.0,17.49,-0.14,-0.8,WEST
2019-01-05 06:00:00+00:00,61752.0,15.66,-0.12,-0.47,WEST
2019-01-05 07:00:00+00:00,61752.0,14.64,-0.12,-0.41,WEST
2019-01-05 08:00:00+00:00,61752.0,13.58,-0.08,-0.43,WEST
2019-01-05 09:00:00+00:00,61752.0,14.91,0.0,-0.27,WEST
2019-01-05 10:00:00+00:00,61752.0,15.27,-0.15,-0.39,WEST
2019-01-05 11:00:00+00:00,61752.0,16.22,0.05,-0.4,WEST
2019-01-05 12:00:00+00:00,61752.0,17.97,-0.07,-0.24,WEST
2019-01-05 13:00:00+00:00,61752.0,18.52,-0.15,-0.4,WEST
2019-01-05 14:00:00+00:00,61752.0,20.03,-0.1,-0.57,WEST
2019-01-05 15:00:00+00:00,61752.0,20.23,-0.06,-0.63,WEST
2019-01-05 16:00:00+00:00,61752.0,20.21,-0.1,-0.6,WEST
2019-01-05 17:00:00+00:00,61752.0,18.88,-0.13,-0.83,WEST
2019-01-05 18:00:00+00:00,61752.0,18.05,-0.12,-0.79,WEST
2019-01-05 19:00:00+00:00,61752.0,18.44,0.02,-0.7,WEST
2019-01-05 20:00:00+00:00,61752.0,18.15,0.02,-0.65,WEST
2019-01-05 21:00:00+00:00,61752.0,19.92,-0.23,-0.7,WEST
2019-01-05 22:00:00+00:00,61752.0,23.4,-0.11,-0.83,WEST
2019-01-05 23:00:00+00:00,61752.0,24.17,-0.24,-0.63,WEST
2019-01-06 00:00:00+00:00,61752.0,22.53,-0.22,-0.66,WEST
2019-01-06 01:00:00+00:00,61752.0,18.94,-0.28,-0.59,WEST
2019-01-06 02:00:00+00:00,61752.0,17.68,-0.24,-1.1,WEST
2019-01-06 03:00:00+00:00,61752.0,15.66,-0.28,-1.08,WEST
2019-01-06 04:00:00+00:00,61752.0,13.86,-0.19,-1.25,WEST
2019-01-06 05:00:00+00:00,61752.0,12.11,-0.24,-1.95,WEST
2019-01-06 06:00:00+00:00,61752.0,11.81,-0.34,-1.51,WEST
2019-01-06 07:00:00+00:00,61752.0,11.1,-0.37,-1.4,WEST
2019-01-06 08:00:00+00:00,61752.0,10.47,-0.38,-1.48,WEST
2019-01-06 09:00:00+00:00,61752.0,10.43,-0.34,-1.37,WEST
2019-01-06 10:00:00+00:00,61752.0,10.44,-0.31,-1.18,WEST
2019-01-06 11:00:00+00:00,61752.0,11.26,-0.29,-1.2,WEST
2019-01-06 12:00:00+00:00,61752.0,11.69,-0.22,-1.53,WEST
2019-01-06 13:00:00+00:00,61752.0,12.18,-0.07,-1.8,WEST
2019-01-06 14:00:00+00:00,61752.0,14.85,0.12,-1.76,WEST
2019-01-06 15:00:00+00:00,61752.0,15.74,-0.1,-1.34,WEST
2019-01-06 16:00:00+00:00,61752.0,15.82,-0.07,-1.32,WEST
2019-01-06 17:00:00+00:00,61752.0,15.73,0.1,-1.07,WEST
2019-01-06 18:00:00+00:00,61752.0,15.11,0.18,-1.07,WEST
2019-01-06 19:00:00+00:00,61752.0,15.05,0.15,-1.01,WEST
2019-01-06 20:00:00+00:00,61752.0,15.73,0.13,-0.88,WEST
2019-01-06 21:00:00+00:00,61752.0,19.15,0.16,-1.45,WEST
2019-01-06 22:00:00+00:00,61752.0,26.68,0.28,-0.81,WEST
2019-01-06 23:00:00+00:00,61752.0,26.71,0.45,-1.21,WEST
2019-01-07 00:00:00+00:00,61752.0,27.71,0.53,-0.74,WEST
2019-01-07 01:00:00+00:00,61752.0,24.23,0.44,-0.76,WEST
2019-01-07 02:00:00+00:00,61752.0,20.18,0.19,-1.39,WEST
2019-01-07 03:00:00+00:00,61752.0,18.63,0.14,-1.06,WEST
2019-01-07 04:00:00+00:00,61752.0,17.88,0.2,-0.83,WEST
2019-01-07 05:00:00+00:00,61752.0,18.35,0.25,-1.23,WEST
2019-01-07 06:00:00+00:00,61752.0,17.5,0.03,-1.01,WEST
2019-01-07 07:00:00+00:00,61752.0,16.46,0.09,-1.1,WEST
2019-01-07 08:00:00+00:00,61752.0,16.24,0.05,-1.07,WEST
2019-01-07 09:00:00+00:00,61752.0,17.21,0.03,-0.91,WEST
2019-01-07 10:00:00+00:00,61752.0,18.96,0.16,-1.26,WEST
2019-01-07 11:00:00+00:00,61752.0,29.41,0.52,0.0,WEST
2019-01-07 12:00:00+00:00,61752.0,32.32,0.63,0.0,WEST
2019-01-07 13:00:00+00:00,61752.0,33.47,0.36,0.0,WEST
2019-01-07 14:00:00+00:00,61752.0,33.13,0.71,0.0,WEST
2019-01-07 15:00:00+00:00,61752.0,31.77,0.74,-0.02,WEST
2019-01-07 16:00:00+00:00,61752.0,29.4,0.41,0.0,WEST
2019-01-07 17:00:00+00:00,61752.0,26.32,0.1,-0.25,WEST
2019-01-07 18:00:00+00:00,61752.0,23.98,0.16,-0.86,WEST
2019-01-07 19:00:00+00:00,61752.0,23.07,0.2,-0.92,WEST
2019-01-07 20:00:00+00:00,61752.0,20.89,-0.02,-1.42,WEST
2019-01-07 21:00:00+00:00,61752.0,27.25,-0.5,-1.69,WEST
2019-01-07 22:00:00+00:00,61752.0,39.56,-1.6,-0.2,WEST
2019-01-07 23:00:00+00:00,61752.0,35.26,-0.86,-0.29,WEST
2019-01-08 00:00:00+00:00,61752.0,28.26,-0.4,-1.67,WEST
2019-01-08 01:00:00+00:00,61752.0,21.52,-0.04,-2.33,WEST
2019-01-08 02:00:00+00:00,61752.0,18.38,0.29,-2.08,WEST
2019-01-08 03:00:00+00:00,61752.0,15.59,0.31,-2.32,WEST
2019-01-08 04:00:00+00:00,61752.0,13.62,0.13,-2.14,WEST
2019-01-08 05:00:00+00:00,61752.0,12.68,-0.12,-2.39,WEST
2019-01-08 06:00:00+00:00,61752.0,12.36,-0.08,-2.02,WEST
2019-01-08 07:00:00+00:00,61752.0,12.1,-0.21,-1.92,WEST
2019-01-08 08:00:00+00:00,61752.0,12.01,-0.26,-1.88,WEST
2019-01-08 09:00:00+00:00,61752.0,12.28,-0.11,-1.98,WEST
2019-01-08 10:00:00+00:00,61752.0,12.69,0.05,-2.25,WEST
2019-01-08 11:00:00+00:00,61752.0,20.62,0.55,-1.67,WEST
2019-01-08 12:00:00+00:00,61752.0,37.18,0.63,-14.98,WEST
2019-01-08 13:00:00+00:00,61752.0,43.79,1.05,-20.4,WEST
2019-01-08 14:00:00+00:00,61752.0,47.0,1.06,-22.91,WEST
2019-01-08 15:00:00+00:00,61752.0,47.0,0.86,-22.33,WEST
2019-01-08 16:00:00+00:00,61752.0,45.14,0.66,-20.07,WEST
2019-01-08 17:00:00+00:00,61752.0,42.0,0.56,-19.82,WEST
2019-01-08 18:00:00+00:00,61752.0,39.21,0.42,-17.99,WEST
2019-01-08 19:00:00+00:00,61752.0,36.0,0.39,-13.96,WEST
2019-01-08 20:00:00+00:00,61752.0,39.0,0.43,-17.94,WEST
2019-01-08 21:00:00+00:00,61752.0,50.0,0.23,-24.14,WEST
2019-01-08 22:00:00+00:00,61752.0,57.0,0.35,-27.24,WEST
2019-01-08 23:00:00+00:00,61752.0,56.0,0.83,-25.66,WEST
2019-01-09 00:00:00+00:00,61752.0,45.0,0.65,-19.34,WEST
2019-01-09 01:00:00+00:00,61752.0,36.91,0.58,-12.29,WEST
2019-01-09 02:00:00+00:00,61752.0,32.0,0.68,-10.63,WEST
2019-01-09 03:00:00+00:00,61752.0,19.77,0.19,-2.71,WEST
2019-01-09 04:00:00+00:00,61752.0,17.66,0.12,-0.73,WEST
2019-01-09 05:00:00+00:00,61752.0,12.57,-0.16,-1.39,WEST
2019-01-09 06:00:00+00:00,61752.0,11.98,-0.1,-1.29,WEST
2019-01-09 07:00:00+00:00,61752.0,11.39,-0.18,-1.17,WEST
2019-01-09 08:00:00+00:00,61752.0,11.26,-0.27,-1.17,WEST
2019-01-09 09:00:00+00:00,61752.0,11.43,-0.17,-1.21,WEST
2019-01-09 10:00:00+00:00,61752.0,13.17,-0.07,-1.26,WEST
2019-01-09 11:00:00+00:00,61752.0,18.79,0.16,-1.08,WEST
2019-01-09 12:00:00+00:00,61752.0,23.23,0.2,-3.43,WEST
2019-01-09 13:00:00+00:00,61752.0,22.55,0.3,-2.56,WEST
2019-01-09 14:00:00+00:00,61752.0,27.57,0.45,-4.78,WEST
2019-01-09 15:00:00+00:00,61752.0,31.95,0.5,-9.54,WEST
2019-01-09 16:00:00+00:00,61752.0,30.72,0.51,-8.74,WEST
2019-01-09 17:00:00+00:00,61752.0,29.26,0.57,-8.28,WEST
2019-01-09 18:00:00+00:00,61752.0,20.92,0.42,-2.77,WEST
2019-01-09 19:00:00+00:00,61752.0,20.43,0.48,-2.2,WEST
2019-01-09 20:00:00+00:00,61752.0,19.03,0.35,-1.01,WEST
2019-01-09 21:00:00+00:00,61752.0,23.2,0.43,-1.31,WEST
2019-01-09 22:00:00+00:00,61752.0,53.32,0.65,-22.97,WEST
2019-01-09 23:00:00+00:00,61752.0,45.0,0.69,-16.71,WEST
2019-01-10 00:00:00+00:00,61752.0,40.35,0.33,-13.0,WEST
2019-01-10 01:00:00+00:00,61752.0,31.0,0.25,-7.74,WEST
2019-01-10 02:00:00+00:00,61752.0,20.11,0.25,-0.82,WEST
2019-01-10 03:00:00+00:00,61752.0,16.97,0.0,-1.04,WEST
2019-01-10 04:00:00+00:00,61752.0,18.02,0.05,-0.48,WEST
2019-01-10 05:00:00+00:00,61752.0,14.31,-0.04,-2.3,WEST
2019-01-10 06:00:00+00:00,61752.0,12.51,0.01,-2.03,WEST
2019-01-10 07:00:00+00:00,61752.0,12.17,-0.01,-1.73,WEST
2019-01-10 08:00:00+00:00,61752.0,12.12,0.01,-1.65,WEST
2019-01-10 09:00:00+00:00,61752.0,12.47,0.11,-1.84,WEST
2019-01-10 10:00:00+00:00,61752.0,16.45,0.09,-1.87,WEST
2019-01-10 11:00:00+00:00,61752.0,24.0,0.42,-3.41,WEST
2019-01-10 12:00:00+00:00,61752.0,44.71,0.24,-18.27,WEST
2019-01-10 13:00:00+00:00,61752.0,43.76,0.2,-18.8,WEST
2019-01-10 14:00:00+00:00,61752.0,46.7,0.11,-20.18,WEST
2019-01-10 15:00:00+00:00,61752.0,52.14,0.16,-25.74,WEST
2019-01-10 16:00:00+00:00,61752.0,45.0,0.0,-18.72,WEST
2019-01-10 17:00:00+00:00,61752.0,37.96,-0.07,-13.78,WEST
2019-01-10 18:00:00+00:00,61752.0,32.77,-0.09,-10.76,WEST
2019-01-10 19:00:00+00:00,61752.0,35.0,-0.11,-13.76,WEST
2019-01-10 20:00:00+00:00,61752.0,33.19,0.07,-10.57,WEST
2019-01-10 21:00:00+00:00,61752.0,46.0,-0.29,-19.6,WEST
2019-01-10 22:00:00+00:00,61752.0,77.11,-0.35,-42.28,WEST
2019-01-10 23:00:00+00:00,61752.0,77.11,-0.34,-43.94,WEST
2019-01-11 00:00:00+00:00,61752.0,77.11,-0.36,-41.88,WEST
2019-01-11 01:00:00+00:00,61752.0,51.07,-0.22,-19.9,WEST
2019-01-11 02:00:00+00:00,61752.0,56.0,-0.06,-27.07,WEST
2019-01-11 03:00:00+00:00,61752.0,30.0,-0.4,-8.06,WEST
2019-01-11 04:00:00+00:00,61752.0,27.0,-0.3,-5.83,WEST
2019-01-11 05:00:00+00:00,61752.0,22.23,-0.08,-3.07,WEST
2019-01-11 06:00:00+00:00,61752.0,20.25,0.0,-2.86,WEST
2019-01-11 07:00:00+00:00,61752.0,19.43,0.15,-2.14,WEST
2019-01-11 08:00:00+00:00,61752.0,19.56,0.02,-2.08,WEST
2019-01-11 09:00:00+00:00,61752.0,21.07,0.04,-2.11,WEST
2019-01-11 10:00:00+00:00,61752.0,26.0,-0.31,-2.27,WEST
2019-01-11 11:00:00+00:00,61752.0,48.2,-0.73,-17.27,WEST
2019-01-11 12:00:00+00:00,61752.0,63.51,-0.66,-33.03,WEST
2019-01-11 13:00:00+00:00,61752.0,59.93,-0.7,-30.0,WEST
2019-01-11 14:00:00+00:00,61752.0,56.93,-0.56,-29.61,WEST
2019-01-11 15:00:00+00:00,61752.0,70.0,-0.46,-41.55,WEST
2019-01-11 16:00:00+00:00,61752.0,52.49,-0.83,-25.67,WEST
2019-01-11 17:00:00+00:00,61752.0,38.12,-0.62,-14.89,WEST
2019-01-11 18:00:00+00:00,61752.0,38.45,-0.55,-16.13,WEST
2019-01-11 19:00:00+00:00,61752.0,36.0,-0.48,-14.74,WEST
2019-01-11 20:00:00+00:00,61752.0,40.0,-0.52,-18.83,WEST
2019-01-11 21:00:00+00:00,61752.0,44.0,-0.79,-18.51,WEST
2019-01-11 22:00:00+00:00,61752.0,88.02,-1.53,-50.26,WEST
2019-01-11 23:00:00+00:00,61752.0,82.77,-0.98,-48.91,WEST
2019-01-12 00:00:00+00:00,61752.0,77.37,-0.85,-45.53,WEST
2019-01-12 01:00:00+00:00,61752.0,48.15,-0.84,-20.81,WEST
2019-01-12 02:00:00+00:00,61752.0,40.0,-0.74,-13.25,WEST
2019-01-12 03:00:00+00:00,61752.0,33.79,-0.49,-12.98,WEST
2019-01-12 04:00:00+00:00,61752.0,30.0,-0.52,-4.55,WEST
2019-01-12 05:00:00+00:00,61752.0,24.98,-0.36,-3.08,WEST
2019-01-12 06:00:00+00:00,61752.0,22.9,-0.27,-2.58,WEST
2019-01-12 07:00:00+00:00,61752.0,21.0,-0.35,-2.76,WEST
2019-01-12 08:00:00+00:00,61752.0,19.24,-0.4,-2.84,WEST
2019-01-12 09:00:00+00:00,61752.0,20.98,-0.38,-2.55,WEST
2019-01-12 10:00:00+00:00,61752.0,23.9,-0.41,-2.62,WEST
2019-01-12 11:00:00+00:00,61752.0,27.01,-0.46,-1.72,WEST
2019-01-12 12:00:00+00:00,61752.0,24.36,-0.51,-2.55,WEST
2019-01-12 13:00:00+00:00,61752.0,30.1,-1.06,-1.7,WEST
2019-01-12 14:00:00+00:00,61752.0,31.29,-1.24,-1.53,WEST
2019-01-12 15:00:00+00:00,61752.0,31.35,-1.24,-1.49,WEST
2019-01-12 16:00:00+00:00,61752.0,35.0,-1.34,-4.43,WEST
2019-01-12 17:00:00+00:00,61752.0,30.33,-1.45,-0.97,WEST
2019-01-12 18:00:00+00:00,61752.0,27.53,-1.13,-1.69,WEST
2019-01-12 19:00:00+00:00,61752.0,27.5,-1.03,-1.5,WEST
2019-01-12 20:00:00+00:00,61752.0,27.41,-0.99,-1.69,WEST
2019-01-12 21:00:00+00:00,61752.0,30.86,-1.59,-1.29,WEST
2019-01-12 22:00:00+00:00,61752.0,36.13,-2.03,-1.31,WEST
2019-01-12 23:00:00+00:00,61752.0,35.28,-1.72,-1.14,WEST
2019-01-13 00:00:00+00:00,61752.0,31.9,-1.39,-1.63,WEST
2019-01-13 01:00:00+00:00,61752.0,30.32,-1.29,-1.58,WEST
2019-01-13 02:00:00+00:00,61752.0,28.81,-1.25,-1.57,WEST
2019-01-13 03:00:00+00:00,61752.0,25.8,-1.09,-2.0,WEST
2019-01-13 04:00:00+00:00,61752.0,24.17,-0.68,-2.18,WEST
2019-01-13 05:00:00+00:00,61752.0,23.99,-0.5,-1.8,WEST
2019-01-13 06:00:00+00:00,61752.0,21.03,-0.55,-2.01,WEST
2019-01-13 07:00:00+00:00,61752.0,20.92,-0.39,-1.56,WEST
2019-01-13 08:00:00+00:00,61752.0,20.24,-0.57,-1.65,WEST
2019-01-13 09:00:00+00:00,61752.0,20.48,-0.52,-1.63,WEST
2019-01-13 10:00:00+00:00,61752.0,20.3,-0.52,-1.37,WEST
2019-01-13 11:00:00+00:00,61752.0,21.95,-0.36,-1.09,WEST
2019-01-13 12:00:00+00:00,61752.0,22.27,-0.58,-1.35,WEST
2019-01-13 13:00:00+00:00,61752.0,27.29,-0.82,-0.79,WEST
2019-01-13 14:00:00+00:00,61752.0,29.09,-0.94,-0.74,WEST
2019-01-13 15:00:00+00:00,61752.0,29.85,-0.91,-0.28,WEST
2019-01-13 16:00:00+00:00,61752.0,28.76,-0.81,-0.47,WEST
2019-01-13 17:00:00+00:00,61752.0,25.85,-0.8,-0.99,WEST
2019-01-13 18:00:00+00:00,61752.0,25.33,-0.7,-0.98,WEST
2019-01-13 19:00:00+00:00,61752.0,23.58,-0.53,-1.07,WEST
2019-01-13 20:00:00+00:00,61752.0,24.07,-0.52,-1.16,WEST
2019-01-13 21:00:00+00:00,61752.0,31.56,-1.59,0.0,WEST
2019-01-13 22:00:00+00:00,61752.0,39.61,-2.44,0.0,WEST
2019-01-13 23:00:00+00:00,61752.0,38.22,-1.88,0.0,WEST
2019-01-14 00:00:00+00:00,61752.0,35.07,-2.0,0.0,WEST
2019-01-14 01:00:00+00:00,61752.0,31.16,-1.21,-0.45,WEST
2019-01-14 02:00:00+00:00,61752.0,28.82,-0.99,-0.82,WEST
2019-01-14 03:00:00+00:00,61752.0,24.05,-0.64,-1.71,WEST
2019-01-14 04:00:00+00:00,61752.0,23.47,-0.24,-1.69,WEST
2019-01-14 05:00:00+00:00,61752.0,24.1,-0.09,-1.33,WEST
2019-01-14 06:00:00+00:00,61752.0,22.38,-0.3,-1.22,WEST
2019-01-14 07:00:00+00:00,61752.0,21.29,0.04,-1.28,WEST
2019-01-14 08:00:00+00:00,61752.0,24.0,-0.22,-0.01,WEST
2019-01-14 09:00:00+00:00,61752.0,28.32,-1.4,-0.01,WEST
2019-01-14 10:00:00+00:00,61752.0,30.88,-1.73,-0.01,WEST
2019-01-14 11:00:00+00:00,61752.0,46.16,-2.49,-7.84,WEST
2019-01-14 12:00:00+00:00,61752.0,63.1,-3.31,-17.8,WEST
2019-01-14 13:00:00+00:00,61752.0,64.11,-3.43,-21.14,WEST
2019-01-14 14:00:00+00:00,61752.0,74.78,-2.96,-37.14,WEST
2019-01-14 15:00:00+00:00,61752.0,70.0,-1.74,-34.79,WEST
2019-01-14 16:00:00+00:00,61752.0,54.73,-1.41,-21.78,WEST
2019-01-14 17:00:00+00:00,61752.0,53.02,-1.4,-21.74,WEST
2019-01-14 18:00:00+00:00,61752.0,45.0,-1.12,-14.12,WEST
2019-01-14 19:00:00+00:00,61752.0,45.0,-0.99,-14.03,WEST
2019-01-14 20:00:00+00:00,61752.0,45.0,-1.22,-14.05,WEST
2019-01-14 21:00:00+00:00,61752.0,37.08,-1.7,-0.02,WEST
2019-01-14 22:00:00+00:00,61752.0,48.19,-2.53,0.0,WEST
2019-01-14 23:00:00+00:00,61752.0,45.76,-1.96,0.0,WEST
2019-01-15 00:00:00+00:00,61752.0,41.0,-2.07,0.0,WEST
2019-01-15 01:00:00+00:00,61752.0,34.82,-1.91,0.0,WEST
2019-01-15 02:00:00+00:00,61752.0,31.53,-1.53,-0.46,WEST
2019-01-15 03:00:00+00:00,61752.0,25.82,-0.47,-1.4,WEST
2019-01-15 04:00:00+00:00,61752.0,25.39,-0.02,-1.32,WEST
2019-01-15 05:00:00+00:00,61752.0,26.21,0.0,-1.19,WEST
2019-01-15 06:00:00+00:00,61752.0,23.65,-0.23,-1.33,WEST
2019-01-15 07:00:00+00:00,61752.0,22.56,0.11,-1.34,WEST
2019-01-15 08:00:00+00:00,61752.0,22.76,-0.02,-1.29,WEST
2019-01-15 09:00:00+00:00,61752.0,25.6,0.17,-1.03,WEST
2019-01-15 10:00:00+00:00,61752.0,26.21,0.05,-1.41,WEST
2019-01-15 11:00:00+00:00,61752.0,33.83,-0.8,-1.24,WEST
2019-01-15 12:00:00+00:00,61752.0,41.24,-2.24,-0.42,WEST
2019-01-15 13:00:00+00:00,61752.0,37.38,-1.41,-0.59,WEST
2019-01-15 14:00:00+00:00,61752.0,32.68,-0.84,-1.04,WEST
2019-01-15 15:00:00+00:00,61752.0,31.72,-1.0,-0.41,WEST
